domain,name,source
inspectie-oe.nl,Inspectie Overheidsinformatie en Erfgoed,https://organisaties.overheid.nl/archive/exportOO.xml
inspectiebtd.nl,"Inspectie belastingen, toeslagen en douane",https://organisaties.overheid.nl/archive/exportOO.xml
ivd.nl,Inspectie Veiligheid Defensie,https://organisaties.overheid.nl/archive/exportOO.xml
justid.nl,Justitiële Informatiedienst,https://organisaties.overheid.nl/archive/exportOO.xml
justis.nl,Justis,https://organisaties.overheid.nl/archive/exportOO.xml
justitieleictorganisatie.nl,Justitiële ICT Organisatie,https://organisaties.overheid.nl/archive/exportOO.xml
kaagenbraassem.nl,Gemeente Kaag en Braassem,https://organisaties.overheid.nl/archive/exportOO.xml
kadaster.nl,Dienst voor het kadaster en de openbare registers,https://organisaties.overheid.nl/archive/exportOO.xml
kamervoordebinnenvisserij.nl,Kamer voor de Binnenvisserij,https://organisaties.overheid.nl/archive/exportOO.xml
kampen.nl,Gemeente Kampen,https://organisaties.overheid.nl/archive/exportOO.xml
kansspelautoriteit.nl,Kansspelautoriteit,https://organisaties.overheid.nl/archive/exportOO.xml
kapelle.nl,Gemeente Kapelle,https://organisaties.overheid.nl/archive/exportOO.xml
katwijk.nl,Gemeente Katwijk,https://organisaties.overheid.nl/archive/exportOO.xml
kb.nl,Koninklijke Bibliotheek,https://organisaties.overheid.nl/archive/exportOO.xml
kcb.nl,Stichting Kwaliteits-Controle-Bureau,https://organisaties.overheid.nl/archive/exportOO.xml
kerkrade.nl,Gemeente Kerkrade,https://organisaties.overheid.nl/archive/exportOO.xml
keurmerk.nl,Keurmerkinstituut jeugdzorg,https://organisaties.overheid.nl/archive/exportOO.xml
kiesraad.nl,Kiesraad,https://organisaties.overheid.nl/archive/exportOO.xml
knaw.nl,Koninklijke Nederlandse Akademie van Wetenschappen,https://organisaties.overheid.nl/archive/exportOO.xml
knmi.nl,Koninklijk Nederlands Meteorologisch Instituut,https://organisaties.overheid.nl/archive/exportOO.xml
koggenland.nl,Gemeente Koggenland,https://organisaties.overheid.nl/archive/exportOO.xml
krimpenaandenijssel.nl,Gemeente Krimpen aan den IJssel,https://organisaties.overheid.nl/archive/exportOO.xml
krimpenerwaard.nl,Gemeente Krimpenerwaard,https://organisaties.overheid.nl/archive/exportOO.xml
kvk.nl,Kamer van Koophandel,https://organisaties.overheid.nl/archive/exportOO.xml
laarbeek.nl,Gemeente Laarbeek,https://organisaties.overheid.nl/archive/exportOO.xml
landgraaf.nl,Gemeente Landgraaf,https://organisaties.overheid.nl/archive/exportOO.xml
landsmeer.nl,Gemeente Landsmeer,https://organisaties.overheid.nl/archive/exportOO.xml
landvancuijk.nl,Gemeente Land van Cuijk,https://organisaties.overheid.nl/archive/exportOO.xml
lansingerland.nl,Gemeente Lansingerland,https://organisaties.overheid.nl/archive/exportOO.xml
laren.nl,Gemeente Laren,https://organisaties.overheid.nl/archive/exportOO.xml
lbio.nl,Landelijk Bureau Inning Onderhoudsbijdragen,https://organisaties.overheid.nl/archive/exportOO.xml
leeuwarden.nl,Gemeente Leeuwarden,https://organisaties.overheid.nl/archive/exportOO.xml
leiden.nl,Gemeente Leiden,https://organisaties.overheid.nl/archive/exportOO.xml
leiderdorp.nl,Gemeente Leiderdorp,https://organisaties.overheid.nl/archive/exportOO.xml
leidschendam-voorburg.nl,Gemeente Leidschendam-Voorburg,https://organisaties.overheid.nl/archive/exportOO.xml
lelystad.nl,Gemeente Lelystad,https://organisaties.overheid.nl/archive/exportOO.xml
letterenfonds.nl,Stichting Nederlands Letterenfonds,https://organisaties.overheid.nl/archive/exportOO.xml
leudal.nl,Gemeente Leudal,https://organisaties.overheid.nl/archive/exportOO.xml
leusden.nl,Gemeente Leusden,https://organisaties.overheid.nl/archive/exportOO.xml
limburg.nl,Provincie Limburg,https://organisaties.overheid.nl/archive/exportOO.xml
lingewaard.nl,Gemeente Lingewaard,https://organisaties.overheid.nl/archive/exportOO.xml
lintjes.nl,Kanselarij der Nederlandse Orden,https://organisaties.overheid.nl/archive/exportOO.xml
lisse.nl,Gemeente Lisse,https://organisaties.overheid.nl/archive/exportOO.xml
lochem.nl,Gemeente Lochem,https://organisaties.overheid.nl/archive/exportOO.xml
logius.nl,Logius,https://organisaties.overheid.nl/archive/exportOO.xml
loodswezen.nl,Nederlandse Loodsencorporatie,https://organisaties.overheid.nl/archive/exportOO.xml
loonopzand.nl,Gemeente Loon op Zand,https://organisaties.overheid.nl/archive/exportOO.xml
lopik.nl,Gemeente Lopik,https://organisaties.overheid.nl/archive/exportOO.xml
losser.nl,Gemeente Losser,https://organisaties.overheid.nl/archive/exportOO.xml
lvnl.nl,Luchtverkeersleiding Nederland,https://organisaties.overheid.nl/archive/exportOO.xml
maasdriel.nl,Gemeente Maasdriel,https://organisaties.overheid.nl/archive/exportOO.xml
